127.0.0.1, 2018-11-29 00:37:00, GET, /favicon.ico, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-11-29 00:37:16, GET, /, HTTP/1.1, 200, 0.027000
127.0.0.1, 2018-11-29 00:38:03, GET, /, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-11-29 00:39:20, GET, /, HTTP/1.1, 200, 0.020000
127.0.0.1, 2018-11-29 00:39:20, GET, /HawkinsPhotography/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:39:20, GET, /HawkinsPhotography/static/css/custom.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-29 00:39:20, GET, /HawkinsPhotography/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:39:20, GET, /HawkinsPhotography/static/css/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-29 00:39:20, GET, /HawkinsPhotography/static/css/myapp.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:39:20, GET, /HawkinsPhotography/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:39:20, GET, /HawkinsPhotography/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:39:20, GET, /HawkinsPhotography/static/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-29 00:39:20, GET, /HawkinsPhotography/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-29 00:39:20, GET, /HawkinsPhotography/static/js/marked.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:39:20, GET, /HawkinsPhotography/static/images/milkyway.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:39:20, GET, /HawkinsPhotography/static/js/vue.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-11-29 00:39:20, GET, /HawkinsPhotography/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:39:21, GET, /favicon.ico, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-11-29 00:39:29, GET, /, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-11-29 00:40:41, GET, /, HTTP/1.1, 200, 0.202000
127.0.0.1, 2018-11-29 00:40:41, GET, /HawkinsPhotography/static/css/stupid.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:40:41, GET, /HawkinsPhotography/static/css/custom.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-11-29 00:40:41, GET, /HawkinsPhotography/static/css/calendar.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-11-29 00:40:41, GET, /HawkinsPhotography/static/css/web2py.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-11-29 00:40:41, GET, /HawkinsPhotography/static/css/myapp.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-29 00:40:41, GET, /HawkinsPhotography/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-29 00:40:41, GET, /HawkinsPhotography/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:40:41, GET, /HawkinsPhotography/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:40:41, GET, /HawkinsPhotography/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:40:41, GET, /HawkinsPhotography/static/js/marked.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:40:41, GET, /HawkinsPhotography/static/images/milkyway.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:40:42, GET, /HawkinsPhotography/static/js/vue.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-11-29 00:40:42, GET, /HawkinsPhotography/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:40:42, GET, /favicon.ico, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-11-29 00:42:55, GET, /, HTTP/1.1, 200, 0.021000
127.0.0.1, 2018-11-29 00:42:55, GET, /HawkinsPhotography/static/css/stupid.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-29 00:42:55, GET, /HawkinsPhotography/static/css/custom.css, HTTP/1.1, 200, 0.021000
127.0.0.1, 2018-11-29 00:42:55, GET, /HawkinsPhotography/static/css/calendar.css, HTTP/1.1, 200, 0.021000
127.0.0.1, 2018-11-29 00:42:55, GET, /HawkinsPhotography/static/css/web2py.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-29 00:42:55, GET, /HawkinsPhotography/static/css/myapp.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-29 00:42:55, GET, /HawkinsPhotography/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-29 00:42:55, GET, /HawkinsPhotography/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-11-29 00:42:55, GET, /HawkinsPhotography/static/js/calendar.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-11-29 00:42:55, GET, /HawkinsPhotography/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-29 00:42:55, GET, /HawkinsPhotography/static/js/marked.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:42:55, GET, /HawkinsPhotography/static/images/milkyway.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:42:55, GET, /HawkinsPhotography/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:42:55, GET, /HawkinsPhotography/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:42:56, GET, /favicon.ico, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-11-29 00:43:10, GET, /, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-11-29 00:43:10, GET, /HawkinsPhotography/static/css/stupid.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:43:10, GET, /HawkinsPhotography/static/css/custom.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:43:10, GET, /HawkinsPhotography/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-29 00:43:10, GET, /HawkinsPhotography/static/css/web2py.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-11-29 00:43:10, GET, /HawkinsPhotography/static/css/myapp.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-11-29 00:43:10, GET, /HawkinsPhotography/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-29 00:43:10, GET, /HawkinsPhotography/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-29 00:43:10, GET, /HawkinsPhotography/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:43:10, GET, /HawkinsPhotography/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-29 00:43:10, GET, /HawkinsPhotography/static/js/marked.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:43:10, GET, /HawkinsPhotography/static/images/milkyway.jpg, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:43:10, GET, /HawkinsPhotography/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:43:10, GET, /HawkinsPhotography/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:43:11, GET, /favicon.ico, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-11-29 00:43:30, GET, /, HTTP/1.1, 200, 0.024000
